,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
158.0,62.0,Giovanni Abagnale,M,21.0,198.0,90.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
11648.0,6346.0,Jrmie Azou,M,27.0,178.0,71.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
14871.0,8025.0,Thomas Gabriel Jrmie Baroukh,M,28.0,183.0,70.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
15215.0,8214.0,Jacob Jepsen Barse,M,27.0,188.0,73.0,Denmark,DEN,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
18441.0,9764.0,Alexander Belonogoff,M,26.0,187.0,90.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
19227.0,10181.0,Paul Bennett,M,27.0,207.0,100.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
25068.0,13120.0,Hamish Byron Bond,M,30.0,189.0,89.0,New Zealand,NZL,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Gold
25568.0,13359.0,"Joshua ""Josh"" Booth",M,25.0,190.0,93.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
25638.0,13395.0,Kjetil Borch,M,26.0,193.0,84.0,Norway,NOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Bronze
29397.0,15181.0,Lawrence Brittain,M,25.0,187.0,94.0,South Africa,RSA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver
30541.0,15743.0,Kristoffer Brun,M,28.0,175.0,70.0,Norway,NOR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
36723.0,18870.0,Matteo Castaldo,M,30.0,188.0,86.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
43276.0,22307.0,Thibault Colard,M,24.0,187.0,70.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
54773.0,28068.0,Marco Di Costanzo,M,24.0,184.0,87.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
58440.0,29899.0,Felix Drahotta,M,27.0,200.0,102.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
58935.0,30156.0,Alexander Mah Owens Drysdale,M,37.0,200.0,102.0,New Zealand,NZL,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Gold
59895.0,30664.0,Joshua Dunkley-Smith,M,27.0,194.0,98.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
60169.0,30808.0,Scott David Durant,M,28.0,196.0,96.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
63602.0,32577.0,Tnu Endrekson,M,37.0,198.0,104.0,Estonia,EST,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
71367.0,36350.0,Karsten Forsterling,M,36.0,191.0,88.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
79876.0,40549.0,Cameron Girdlestone,M,28.0,190.0,92.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
82674.0,42000.0,"Matthew Anthony W. ""Matt"" Gotrel",M,27.0,195.0,95.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
84101.0,42734.0,"Alexander John ""Alex"" Gregory",M,32.0,198.0,97.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
84812.0,43037.0,Mindaugas Grikonis,M,30.0,190.0,92.0,Lithuania,LTU,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Silver
85408.0,43300.0,Hans Gruhne,M,27.0,193.0,92.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
87541.0,44384.0,Mario-Elio Gyr,M,31.0,187.0,76.0,Switzerland,SUI,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
94037.0,47603.0,Kaj Hendriks,M,28.0,197.0,95.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
95919.0,48553.0,"Alexander ""Alex"" Hill",M,23.0,194.0,92.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
95976.0,48586.0,Phelan Peter Hill,M,37.0,172.0,55.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
99267.0,50232.0,Pierre Houin,M,22.0,182.0,74.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Gold
105630.0,53423.0,Malte Jakschik,M,23.0,194.0,93.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
105842.0,53547.0,Andrei Jms,M,34.0,184.0,90.0,Estonia,EST,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
108903.0,55069.0,Eric Johannesen,M,28.0,193.0,100.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
110948.0,56133.0,Morten Jrgensen,M,31.0,183.0,73.0,Denmark,DEN,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
115218.0,58380.0,Shaun Keeling,M,29.0,196.0,94.0,South Africa,RSA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Silver
128438.0,64676.0,Andreas Kuffner,M,29.0,196.0,94.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
132169.0,66517.0,"Matthew Keir ""Matt"" Langridge",M,33.0,194.0,93.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
132723.0,66805.0,Jacob Sgaard Larsen,M,28.0,182.0,73.0,Denmark,DEN,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Silver
141461.0,70979.0,William Lockwood,M,28.0,191.0,88.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver
141484.0,70992.0,Matteo Lodo,M,21.0,196.0,90.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
142874.0,71687.0,Constantine Michael Louloudis,M,24.0,190.0,92.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
143561.0,72059.0,Robert Lcken,M,31.0,199.0,95.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
150566.0,75551.0,Damir Martin,M,28.0,189.0,97.0,Croatia,CRO,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Silver
155284.0,77955.0,James McRae,M,29.0,193.0,93.0,Australia,AUS,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
157885.0,79256.0,Boaz Cornelius Meylink,M,32.0,195.0,93.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
162497.0,81588.0,Domenico Montrone,M,30.0,189.0,97.0,Italy,ITA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Bronze
165984.0,83359.0,Maximilian Munski,M,28.0,195.0,96.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
166398.0,83571.0,Eric Gordon Murray,M,34.0,195.0,98.0,New Zealand,NZL,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Gold
168352.0,84598.0,George Christopher Nash,M,26.0,195.0,96.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
171349.0,86104.0,Simon Niepmann,M,31.0,180.0,71.0,Switzerland,SUI,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
175033.0,87939.0,Hannes Ocik,M,25.0,191.0,93.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
175069.0,87962.0,Gary O'Donovan,M,23.0,172.0,70.0,Ireland,IRL,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver
175070.0,87963.0,Paul O'Donovan,M,22.0,177.0,70.0,Ireland,IRL,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,Silver
196006.0,98419.0,Guillaume Louis  Benoit Raineau,M,30.0,187.0,71.0,France,FRA,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
196086.0,98448.0,Allar Raja,M,33.0,190.0,95.0,Estonia,EST,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze
196970.0,98886.0,"Thomas Matthew ""Tom"" Ransley",M,30.0,198.0,101.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
198211.0,99523.0,"Peter ""Pete"" Reed",M,35.0,197.0,100.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
198703.0,99780.0,Maximilian Reinelt,M,27.0,195.0,98.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
201228.0,101070.0,Saulius Ritter,M,27.0,202.0,110.0,Lithuania,LTU,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Silver
202833.0,101889.0,Boudewijn Rell,M,27.0,195.0,100.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
211029.0,105974.0,"William Spencer ""Will"" Satch",M,27.0,198.0,100.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Gold
211287.0,106100.0,Martin Sauer,M,33.0,169.0,55.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
211987.0,106423.0,"Mohamed Karim ""Moe"" Sbihi",M,28.0,202.0,110.0,Great Britain,GBR,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Gold
213343.0,107131.0,Richard Schmidt,M,29.0,191.0,87.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Silver
213949.0,107434.0,Lauritz Schoof,M,25.0,195.0,98.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
214534.0,107703.0,Karl Schulze,M,28.0,190.0,100.0,Germany,GER,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Gold
214624.0,107750.0,Simon Schrch,M,25.0,186.0,75.0,Switzerland,SUI,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
219503.0,110265.0,Olivier Floris Johannes Siegelaar,M,29.0,197.0,100.0,Netherlands,NED,2016 Summer,2016.0,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,Bronze
